num_rooms,m2,price,zip_code,canton_code,street,city
3.0,75,1728,1018,VD,Avenue Parc-de-la-Rouvraie,Lausanne
4.5,108,2930,1800,VD,Rue du Midi,Vevey
3.5,76,1185,2300,NE,Rue du Chalet,La Chaux-de-Fonds
3.5,80,1337,1630,FR,Rue du ChÃ¢teau-d'En-Bas,Bulle
5.5,116,2035,2300,NE,Rue du Chalet,La Chaux-de-Fonds
3.0,1,1007,2525,NE,Route de la Neuveville,Le Landeron
3.0,66,1350,4058,BS,Jägerstrasse,Basel
3.0,68,1420,4127,BL,Hauptstrasse,Birsfelden
3.5,71,1410,4410,BL,Kesselweg,Liestal
3.0,74,1510,4057,BS,Zähringerstrasse,Basel
4.5,90,1900,6045,LU,Rotmattstrasse,Meggen
1.0,20,780,6015,LU,Täschmattstrasse,Luzern
2.0,51,1190,6020,LU,Neuenkirchstrasse,Emmenbrücke
4.5,90,1650,1920,VS,Rue de la Poste,Martigny
5.5,163,2450,3292,BE,Nelkenweg,Busswil BE
4.0,80,1200,4564,SO,Hauptstrasse,Obergerlafingen
4.5,113,1950,1630,FR,Rue de la Condémine,Bulle
4.5,95,2000,8180,ZH,Gutenbergweg,Bülach
3.5,99,2160,9424,SG,Rorschacherstrasse,Rheineck
3.5,81,1695,2540,SO,Kirchstrasse,Grenchen
3.5,87,1600,2540,SO,Kirchstrasse,Grenchen
2.5,70,1590,3018,BE,Bernstrasse,Bern
2.5,61,1270,2540,SO,Kirchstrasse,Grenchen
1.5,31,950,3550,BE,Bleicheweg,Langnau im Emmental
1.5,38,900,1950,VS,Avenue de Tourbillon,Sion
4.5,72,1730,3007,BE,Seftigenstrasse,Bern
4.5,112,1820,4934,BE,Obergasse,Madiswil
2.0,59,1490,3210,FR,Aegertenstrasse,Kerzers
3.5,70,1750,3007,BE,Seftigenstrasse,Bern
1.5,35,890,3966,VS,Route de la Cure,Chalais
2.5,60,900,2503,BE,Aarbergstrasse,Biel/Bienne
3.5,108,1920,9500,SG,Kirchgasse,Wil SG
3.5,123,2350,4123,BL,Engehollenweg,Allschwil
1.0,24,980,3012,BE,Engestrasse,Bern
5.0,168,2400,1721,FR,"Le Grabou,",Cormérod
4.5,117,1770,3308,BE,Sternenweg,Grafenried
3.5,75,1500,3122,BE,Bernstrasse,Kehrsatz
3.5,75,1480,3122,BE,Bernstrasse,Kehrsatz
3.5,85,1975,8909,ZH,Hofibachstrasse,Zwillikon
4.5,108,1500,6828,TI,Via Sottobisio,Balerna
3.5,85,1450,3550,BE,Alleestrasse,Langnau im Emmental
4.0,72,2240,1004,VD,chemin de Renens,Lausanne
3.5,105,2180,5442,AG,"Eichstrasse   ""Eichmatt"",",Fislisbach
4.5,124,2410,5442,AG,"Eichstrasse ""Eichmatt"",",Fislisbach
3.5,90,1400,8586,TG,Löwengasse,Kümmertshausen
3.5,80,1350,8586,TG,Löwengasse,Kümmertshausen
4.0,100,1800,4500,SO,Weissensteinstr.,Solothurn
3.0,75,1600,4500,SO,Weissensteinstr.,Solothurn
3.5,120,2230,3011,BE,Junkerngasse,Bern
2.5,86,1600,8360,TG,Fallackerstrasse,Eschlikon TG
3.5,84,1690,1920,VS,Rue de la Poste,Martigny
4.5,139,1980,3422,BE,Schulweg,Kirchberg BE
3.5,77,1790,6003,LU,Spannortstrasse,Luzern
3.5,74,1530,3052,BE,Bim Hasel,Zollikofen
4.0,82,1750,4142,BL,Im Steinenmüller,Münchenstein
3.5,77,1911,8902,ZH,Baumgartenstrasse,Urdorf
4.5,95,2125,1400,VD,Rue Léon-Michaud,Yverdon-les-Bains
3.0,64,1350,2000,NE,Rue Frédéric-Carl-de-Marval,NeuchÃ¢tel
3.0,83,1730,3013,BE,Breitenrainstrasse,Bern
4.5,102,1690,8200,SH,Felsenaustrasse,Schaffhausen
4.5,102,1690,8200,SH,Felsenaustrasse,Schaffhausen
2.5,65,1975,1005,VD,"Avenue de Bethusy,",Lausanne
2.5,49,1530,3072,BE,Unterdorfstrasse,Ostermundigen
3.5,85,2200,5610,AG,Wilstrasse,Wohlen AG
3.0,77,1290,5000,AG,Mühlemattstrasse,Aarau
4.5,110,2330,1400,VD,Ch. de Beaumont,Yverdon-les-Bains
4.0,50,2170,1227,GE,Rue Saint-Victor,Carouge GE
1.0,24,630,1920,VS,Chemin du Scex,Martigny
2.0,31,750,3415,BE,Preisegg,Hasle b. Burgdorf
4.5,125,2350,1794,FR,Ofenhausgässli,Salvenach
3.0,97,1370,8200,SH,Reiatstr.,Schaffhausen
4.5,80,1590,3812,BE,Lehngasse,Wilderswil
3.5,137,1800,4717,SO,Werkhofstrasse,Mümliswil
5.5,176,3950,3073,BE,Tannackerstrasse,Gümligen
4.0,114,3980,8706,ZH,Dorfstrasse,Meilen
6.5,155,3030,3250,BE,Schulgasse,Lyss
4.5,106,2350,3052,BE,Molkereistrasse,Zollikofen
3.5,94,2150,3806,BE,Seestrasse,Bönigen b. Interlaken
3.5,61,1290,4632,SO,Gartenstrasse,Trimbach
3.5,67,1740,9000,SG,Spisergasse,St. Gallen
4.5,81,1420,4500,SO,Riedmattstrasse,Solothurn
3.5,63,1150,4500,SO,Riedmattstrasse,Solothurn
4.5,95,1500,8200,SH,Winkelriedstr.,Schaffhausen
3.5,80,1000,2300,NE,Avenue Leopold-Robert,La Chaux-de-Fonds
3.0,65,1090,8212,SH,Zollstrasse,Neuhausen am Rheinfall
4.5,81,1370,4912,BE,Wiesenstrasse,Aarwangen
3.5,90,1850,5210,AG,Schachenweg,Windisch
2.0,57,1590,4056,BS,Landskronstrasse,Basel
1.5,60,1790,1110,VD,Rue Traversière,Morges
6.5,230,3920,1170,VD,Rue du ChÃªne,Aubonne
3.5,65,1200,8492,ZH,Tösstalstrasse,Wila
1.0,40,650,4900,BE,Blumenstrasse,Langenthal
3.5,82,1320,6280,LU,Sagenbachmatt,Hochdorf
3.5,124,1750,3312,BE,Solothurnstrasse,Fraubrunnen
4.5,89,1520,3312,BE,Solothurnstrasse,Fraubrunnen
3.5,66,1650,4057,BS,Holderstrasse,Basel
3.5,75,1290,6280,LU,Bellevuestrasse,Hochdorf
1.0,25,850,4057,BS,Holderstrasse,Basel
1.0,32,1170,4057,BS,Holderstrasse,Basel
3.5,60,1430,5000,AG,Schönenwerderstrasse,Aarau
3.5,97,1700,5737,AG,Hauptstrasse,Menziken
3.5,80,1470,3027,BE,Untermattweg,Bern
5.5,180,2690,2502,BE,Haldenstrasse,Biel/Bienne
2.0,55,990,4500,SO,Weissensteinstrasse,Solothurn
3.5,75,1040,2544,SO,Bahnhofstrasse,Bettlach
4.5,95,2570,3937,VS,Sennjistrasse,Baltschieder
4.5,120,1280,9400,SG,Signalstr.,Rorschach
3.5,104,1975,4552,SO,Emmenhofalle ,Derendingen
4.5,122,2140,4552,SO,Emmenhofalle ,Derendingen
4.5,90,1450,4950,BE,Wiesenstrasse,Huttwil
4.0,93,1890,5000,AG,Gönhardweg,Aarau
4.0,95,2219,8406,ZH,Zürcherstrasse,Winterthur
2.5,64,1280,2017,NE,Passage Blaise Cendrars,Boudry
3.5,67,1190,1562,VD,Route du ChÃªne,Corcelles-près-Payerne
4.5,84,1495,1562,VD,Route du ChÃªne,Corcelles-près-Payerne
5.5,142,3090,6005,LU,Steinhofstrasse,Luzern
2.0,48,1250,3063,BE,Sonnhalde,Ittigen
4.5,99,2240,5628,AG,Bremgartenstrasse,Aristau
4.5,116,1930,1870,VS,Av. de l'Europe,Monthey
2.5,59,970,1723,FR,Route du Midi,Marly
3.5,155,1890,3177,BE,Beundenweg,Laupen BE
3.5,85,2190,3052,BE,Schulhausstrasse,Zollikofen
3.5,74,1650,1721,FR,"Le Grabou,",Cormérod
4.5,135,1980,3177,BE,Beundenweg,Laupen BE
3.5,90,1570,3145,BE,Schwarzenburgstrasse,Niederscherli
3.5,140,1700,3096,BE,Hinterbergstrasse,Oberbalm
5.5,162,2750,5037,AG,Multenrain,Muhen
3.0,65,1540,3006,BE,Ankerstrasse,Bern
4.5,144,3170,3052,BE,Webergutstrasse,Zollikofen
3.0,60,950,5612,AG,Anglikerstrasse,Villmergen
3.5,90,1990,4532,SO,Sandmattstrasse,Feldbrunnen
1.5,20,810,6900,TI,Via Zorzi,Paradiso
3.0,70,1700,3014,BE,Scheibenstrasse,Bern
4.5,86,1550,2543,BE,Gottfried Keller-Weg,Lengnau BE
4.5,122,3100,4147,BL,Gartenstrasse,Aesch BL
2.0,50,1500,8713,ZH,Rohrhaldenstrasse,Uerikon
4.5,130,1750,4552,SO,Alpenstrasse,Derendingen
4.0,78,1300,3600,BE,"Silberhornstrasse,",Thun
4.5,134,2350,5737,AG,Myrtenstrasse,Menziken
3.0,60,1140,4912,BE,Friedhofstrasse,Aarwangen
2.5,154,3600,2502,BE,Bözingenstrasse,Biel/Bienne
1.5,93,2050,2502,BE,Bözingenstrasse,Biel/Bienne
2.5,83,1870,2502,BE,Bözingenstrasse,Biel/Bienne
1.5,94,1995,2502,BE,Bözingenstrasse,Biel/Bienne
3.5,66,1450,6612,TI,Via CarrÃ  dei Nasi,Ascona
2.5,52,1295,6376,NW,Ischenstrasse,Emmetten
3.5,107,2950,6600,TI,Via Varesi,Locarno
4.5,126,2400,3052,BE,Lätternweg,Zollikofen
3.5,97,2000,3052,BE,Lätternweg,Zollikofen
2.5,64,1350,3360,BE,Oberstrasse,Herzogenbuchsee
4.0,69,1325,4562,SO,Bleichenbergstrasse,Biberist
3.5,79,1150,3465,BE,Brunne,Dürrenroth
4.5,90,1440,2555,BE,Bärletweg,Brügg BE
4.5,83,1550,5614,AG,Kreuzrain,Sarmenstorf
4.5,102,2150,5610,AG,Bahnhofweg,Wohlen AG
3.5,73,1670,5610,AG,Bahnhofweg,Wohlen AG
2.5,52,1330,5610,AG,Bahnhofweg,Wohlen AG
1.5,38,1040,5610,AG,Bahnhofweg,Wohlen AG
2.0,195,4850,4051,BS,Streitgasse,Basel
