num_rooms,m2,price,zip_code,canton_code,street,city
3.5,98,2180,8280,TG,Remisbergst.,Kreuzlingen
4.5,150,2900,4614,SO,Rolliweg,Hägendorf
3.0,60,1540,3072,BE,Flurweg,Ostermundigen
3.0,60,1540,3072,BE,Flurweg,Ostermundigen
3.5,70,1680,3072,BE,Flurweg,Ostermundigen
3.5,78,1910,3047,BE,Zelgweg,Bremgarten b. Bern
3.0,78,1650,2525,NE,Russie,Le Landeron
2.5,63,2050,3052,BE,Bantigerstrasse,Zollikofen
4.0,77,1390,4800,AG,Obere Mühlemattstrasse,Zofingen
3.0,65,1190,4800,AG,Obere Mühlemattstrasse,Zofingen
3.0,65,1190,4800,AG,Obere Mühlemattstrasse,Zofingen
4.5,80,1395,4665,AG,Irisweg,Oftringen
3.5,71,1230,4665,AG,Irisweg,Oftringen
4.5,80,1390,4665,AG,Irisweg,Oftringen
4.0,104,1590,4900,BE,Melchnaustrasse,Langenthal
3.5,78,1495,5036,AG,Erlenweg,Oberentfelden
4.0,82,1535,5036,AG,Erlenweg,Oberentfelden
4.0,83,1535,5036,AG,Erlenweg,Oberentfelden
3.5,82,1400,3322,BE,Grubenstrasse,Urtenen-Schönbühl
3.0,85,1825,4058,BS,Rebgasse,Basel
4.5,98,1600,1794,FR,Mädergässli,Salvenach
4.5,91,2010,5400,AG,Wiesenstrasse,Baden
3.5,100,1500,1792,FR,Im Coppet,Cordast
4.0,86,2300,1203,GE,"Rue Daubin,",Genève
4.0,80,1590,3600,BE,Gantrischstrasse,Thun
1.0,22,730,5012,SO,Oltnerstrasse,Schönenwerd
2.5,100,3760,3006,BE,Dunkerstrasse,Bern
2.5,82,2290,8952,ZH,Brunngasse,Schlieren
5.0,100,1980,9000,SG,"Wassergasse,",St. Gallen
2.0,44,1350,9000,SG,Wassergasse,St. Gallen
2.5,50,910,2503,BE,Brüggstrasse,Biel/Bienne
4.5,122,1690,9100,AR,Warteggstrasse,Herisau
3.5,100,1450,4585,SO,Schlattacker,Biezwil
9.5,480,800,8834,SZ,Etzelblickstrasse,Schindellegi
3.5,87,1950,6010,LU,Schweighofplatz ,Kriens
3.5,79,1810,6010,LU,Schweighofweg,Kriens
4.5,95,1780,6010,LU,Sankt Niklausengasse,Kriens
3.5,82,1490,2540,SO,Güterstrasse,Grenchen
1.5,46,1790,3011,BE,Brunngasse,Bern
1.5,41,1720,3011,BE,Brunngasse,Bern
1.5,33,1470,3011,BE,Brunngasse,Bern
3.5,108,1920,9500,SG,Kirchgasse,Wil SG
3.0,80,1650,2502,BE,Ernst-Schüler,Biel/Bienne
3.0,62,1450,8408,ZH,Holzlegistrasse,Winterthur
1.0,30,990,4055,BS,Hegenheimerstrasse,Basel
4.5,95,2090,8623,ZH,Preyenstr.,Wetzikon ZH
4.5,108,1990,4900,BE,Bäreggstr.,Langenthal
3.5,77,2000,4123,BL,Kurzelaengeweg,Allschwil
4.5,96,1600,8590,TG,Carl-Spitteler-Str.,Romanshorn
4.5,87,2070,8610,ZH,Breitigasse,Uster
4.5,99,1910,6963,TI,Via Nava,Pregassona
1.0,26,1130,1004,VD,Avenue de France,Lausanne
2.5,55,1200,9200,SG,Zeughausstrasse,Gossau SG
3.5,71,1655,4133,BL,Wartenbergstr.,Pratteln
4.5,99,1605,4143,SO,Klostergasse,Dornach
2.5,80,2400,4051,BS,Leonhardstrasse,Basel
4.5,98,1930,4562,SO,Blümlisalpstrasse,Biberist
3.5,1,1160,4536,BE,Oltenstrasse,Attiswil
3.0,86,1440,4512,SO,Marktstrasse,Bellach
2.0,48,1580,8052,ZH,Glattalstrasse,Zürich
4.5,112,1430,8207,SH,Stettemerstrasse,Schaffhausen
3.0,66,1620,8400,ZH,Sulzbergstrasse,Winterthur
1.5,39,1510,8052,ZH,Leimgrübelstrasse,Zürich
4.5,102,2245,8200,SH,Zur Stahlgiesserei,Schaffhausen
